"C02451V02968","County","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"01","Carlow","2009","2009","ROA20C2","Injury Collisions","Number","69"
"01","Carlow","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","72"
"01","Carlow","2009","2009","ROA20C4","Killed Casualties","Number","3"
"01","Carlow","2009","2009","ROA20C5","Injured Casualties","Number","128"
"01","Carlow","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","131"
"01","Carlow","2010","2010","ROA20C1","Fatal Collisions","Number","5"
"01","Carlow","2010","2010","ROA20C2","Injury Collisions","Number","76"
"01","Carlow","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","81"
"01","Carlow","2010","2010","ROA20C4","Killed Casualties","Number","5"
"01","Carlow","2010","2010","ROA20C5","Injured Casualties","Number","120"
"01","Carlow","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","125"
"01","Carlow","2011","2011","ROA20C1","Fatal Collisions","Number","3"
"01","Carlow","2011","2011","ROA20C2","Injury Collisions","Number","60"
"01","Carlow","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","63"
"01","Carlow","2011","2011","ROA20C4","Killed Casualties","Number","3"
"01","Carlow","2011","2011","ROA20C5","Injured Casualties","Number","99"
"01","Carlow","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","102"
"01","Carlow","2012","2012","ROA20C1","Fatal Collisions","Number","2"
"01","Carlow","2012","2012","ROA20C2","Injury Collisions","Number","52"
"01","Carlow","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","54"
"01","Carlow","2012","2012","ROA20C4","Killed Casualties","Number","2"
"01","Carlow","2012","2012","ROA20C5","Injured Casualties","Number","67"
"01","Carlow","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","69"
"02","Dublin","2005","2005","ROA20C1","Fatal Collisions","Number","39"
"02","Dublin","2005","2005","ROA20C2","Injury Collisions","Number","1331"
"02","Dublin","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","1370"
"02","Dublin","2005","2005","ROA20C4","Killed Casualties","Number","41"
"02","Dublin","2005","2005","ROA20C5","Injured Casualties","Number","1716"
"02","Dublin","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","1757"
"02","Dublin","2006","2006","ROA20C1","Fatal Collisions","Number","32"
"02","Dublin","2006","2006","ROA20C2","Injury Collisions","Number","1288"
