"C02451V02968","County","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"07","Louth","2010","2010","ROA20C5","Injured Casualties","Number","306"
"07","Louth","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","314"
"07","Louth","2011","2011","ROA20C1","Fatal Collisions","Number","5"
"07","Louth","2011","2011","ROA20C2","Injury Collisions","Number","184"
"07","Louth","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","189"
"07","Louth","2011","2011","ROA20C4","Killed Casualties","Number","6"
"07","Louth","2011","2011","ROA20C5","Injured Casualties","Number","249"
"07","Louth","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","255"
"07","Louth","2012","2012","ROA20C1","Fatal Collisions","Number","7"
"07","Louth","2012","2012","ROA20C2","Injury Collisions","Number","210"
"07","Louth","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","217"
"07","Louth","2012","2012","ROA20C4","Killed Casualties","Number","7"
"07","Louth","2012","2012","ROA20C5","Injured Casualties","Number","343"
"07","Louth","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","350"
"08","Meath","2005","2005","ROA20C1","Fatal Collisions","Number","25"
"08","Meath","2005","2005","ROA20C2","Injury Collisions","Number","259"
"08","Meath","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","284"
"08","Meath","2005","2005","ROA20C4","Killed Casualties","Number","30"
"08","Meath","2005","2005","ROA20C5","Injured Casualties","Number","420"
"08","Meath","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","450"
"08","Meath","2006","2006","ROA20C1","Fatal Collisions","Number","20"
"08","Meath","2006","2006","ROA20C2","Injury Collisions","Number","268"
"08","Meath","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","288"
"08","Meath","2006","2006","ROA20C4","Killed Casualties","Number","22"
"08","Meath","2006","2006","ROA20C5","Injured Casualties","Number","397"
"08","Meath","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","419"
"08","Meath","2007","2007","ROA20C1","Fatal Collisions","Number","14"
"08","Meath","2007","2007","ROA20C2","Injury Collisions","Number","248"
"08","Meath","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","262"
"08","Meath","2007","2007","ROA20C4","Killed Casualties","Number","14"
"08","Meath","2007","2007","ROA20C5","Injured Casualties","Number","388"
"08","Meath","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","402"
"08","Meath","2008","2008","ROA20C1","Fatal Collisions","Number","9"
"08","Meath","2008","2008","ROA20C2","Injury Collisions","Number","307"
"08","Meath","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","316"
"08","Meath","2008","2008","ROA20C4","Killed Casualties","Number","9"
"08","Meath","2008","2008","ROA20C5","Injured Casualties","Number","442"
"08","Meath","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","451"
"08","Meath","2009","2009","ROA20C1","Fatal Collisions","Number","12"
"08","Meath","2009","2009","ROA20C2","Injury Collisions","Number","289"
"08","Meath","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","301"
"08","Meath","2009","2009","ROA20C4","Killed Casualties","Number","12"
"08","Meath","2009","2009","ROA20C5","Injured Casualties","Number","429"
"08","Meath","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","441"
"08","Meath","2010","2010","ROA20C1","Fatal Collisions","Number","6"
"08","Meath","2010","2010","ROA20C2","Injury Collisions","Number","240"
"08","Meath","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","246"
"08","Meath","2010","2010","ROA20C4","Killed Casualties","Number","6"
"08","Meath","2010","2010","ROA20C5","Injured Casualties","Number","363"
"08","Meath","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","369"
"08","Meath","2011","2011","ROA20C1","Fatal Collisions","Number","3"
"08","Meath","2011","2011","ROA20C2","Injury Collisions","Number","194"
"08","Meath","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","197"
"08","Meath","2011","2011","ROA20C4","Killed Casualties","Number","4"
"08","Meath","2011","2011","ROA20C5","Injured Casualties","Number","279"
"08","Meath","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","283"
"08","Meath","2012","2012","ROA20C1","Fatal Collisions","Number","14"
"08","Meath","2012","2012","ROA20C2","Injury Collisions","Number","192"
"08","Meath","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","206"
"08","Meath","2012","2012","ROA20C4","Killed Casualties","Number","14"
"08","Meath","2012","2012","ROA20C5","Injured Casualties","Number","296"
"08","Meath","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","310"
"09","Offaly","2005","2005","ROA20C1","Fatal Collisions","Number","7"
"09","Offaly","2005","2005","ROA20C2","Injury Collisions","Number","107"
"09","Offaly","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","114"
"09","Offaly","2005","2005","ROA20C4","Killed Casualties","Number","8"
"09","Offaly","2005","2005","ROA20C5","Injured Casualties","Number","167"
"09","Offaly","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","175"
"09","Offaly","2006","2006","ROA20C1","Fatal Collisions","Number","9"
"09","Offaly","2006","2006","ROA20C2","Injury Collisions","Number","94"
"09","Offaly","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","103"
"09","Offaly","2006","2006","ROA20C4","Killed Casualties","Number","9"
"09","Offaly","2006","2006","ROA20C5","Injured Casualties","Number","180"
"09","Offaly","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","189"
"09","Offaly","2007","2007","ROA20C1","Fatal Collisions","Number","5"
"09","Offaly","2007","2007","ROA20C2","Injury Collisions","Number","121"
"09","Offaly","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","126"
"09","Offaly","2007","2007","ROA20C4","Killed Casualties","Number","5"
"09","Offaly","2007","2007","ROA20C5","Injured Casualties","Number","188"
"09","Offaly","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","193"
"09","Offaly","2008","2008","ROA20C1","Fatal Collisions","Number","6"
"09","Offaly","2008","2008","ROA20C2","Injury Collisions","Number","102"
"09","Offaly","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","108"
"09","Offaly","2008","2008","ROA20C4","Killed Casualties","Number","8"
"09","Offaly","2008","2008","ROA20C5","Injured Casualties","Number","174"
"09","Offaly","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","182"
"09","Offaly","2009","2009","ROA20C1","Fatal Collisions","Number","4"
"09","Offaly","2009","2009","ROA20C2","Injury Collisions","Number","119"
"09","Offaly","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","123"
"09","Offaly","2009","2009","ROA20C4","Killed Casualties","Number","4"
"09","Offaly","2009","2009","ROA20C5","Injured Casualties","Number","190"
"09","Offaly","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","194"
"09","Offaly","2010","2010","ROA20C1","Fatal Collisions","Number","4"
"09","Offaly","2010","2010","ROA20C2","Injury Collisions","Number","106"
"09","Offaly","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","110"
"09","Offaly","2010","2010","ROA20C4","Killed Casualties","Number","4"
"09","Offaly","2010","2010","ROA20C5","Injured Casualties","Number","151"
"09","Offaly","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","155"
"09","Offaly","2011","2011","ROA20C1","Fatal Collisions","Number","4"
"09","Offaly","2011","2011","ROA20C2","Injury Collisions","Number","71"
"09","Offaly","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","75"
"09","Offaly","2011","2011","ROA20C4","Killed Casualties","Number","4"
"09","Offaly","2011","2011","ROA20C5","Injured Casualties","Number","107"
"09","Offaly","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","111"
"09","Offaly","2012","2012","ROA20C1","Fatal Collisions","Number","4"
"09","Offaly","2012","2012","ROA20C2","Injury Collisions","Number","76"
"09","Offaly","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","80"
"09","Offaly","2012","2012","ROA20C4","Killed Casualties","Number","7"
"09","Offaly","2012","2012","ROA20C5","Injured Casualties","Number","128"
"09","Offaly","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","135"
"10","Westmeath","2005","2005","ROA20C1","Fatal Collisions","Number","12"
"10","Westmeath","2005","2005","ROA20C2","Injury Collisions","Number","134"
"10","Westmeath","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","146"
"10","Westmeath","2005","2005","ROA20C4","Killed Casualties","Number","12"
"10","Westmeath","2005","2005","ROA20C5","Injured Casualties","Number","194"
"10","Westmeath","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","206"
"10","Westmeath","2006","2006","ROA20C1","Fatal Collisions","Number","16"
"10","Westmeath","2006","2006","ROA20C2","Injury Collisions","Number","115"
"10","Westmeath","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","131"
"10","Westmeath","2006","2006","ROA20C4","Killed Casualties","Number","18"
"10","Westmeath","2006","2006","ROA20C5","Injured Casualties","Number","168"
"10","Westmeath","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","186"
"10","Westmeath","2007","2007","ROA20C1","Fatal Collisions","Number","13"
"10","Westmeath","2007","2007","ROA20C2","Injury Collisions","Number","154"
"10","Westmeath","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","167"
"10","Westmeath","2007","2007","ROA20C4","Killed Casualties","Number","14"
"10","Westmeath","2007","2007","ROA20C5","Injured Casualties","Number","240"
"10","Westmeath","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","254"
"10","Westmeath","2008","2008","ROA20C1","Fatal Collisions","Number","3"
"10","Westmeath","2008","2008","ROA20C2","Injury Collisions","Number","117"
"10","Westmeath","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","120"
"10","Westmeath","2008","2008","ROA20C4","Killed Casualties","Number","3"
"10","Westmeath","2008","2008","ROA20C5","Injured Casualties","Number","176"
"10","Westmeath","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","179"
"10","Westmeath","2009","2009","ROA20C1","Fatal Collisions","Number","4"
"10","Westmeath","2009","2009","ROA20C2","Injury Collisions","Number","127"
"10","Westmeath","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","131"
"10","Westmeath","2009","2009","ROA20C4","Killed Casualties","Number","4"
"10","Westmeath","2009","2009","ROA20C5","Injured Casualties","Number","191"
"10","Westmeath","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","195"
"10","Westmeath","2010","2010","ROA20C1","Fatal Collisions","Number","7"
"10","Westmeath","2010","2010","ROA20C2","Injury Collisions","Number","108"
"10","Westmeath","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","115"
"10","Westmeath","2010","2010","ROA20C4","Killed Casualties","Number","7"
"10","Westmeath","2010","2010","ROA20C5","Injured Casualties","Number","162"
"10","Westmeath","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","169"
"10","Westmeath","2011","2011","ROA20C1","Fatal Collisions","Number","5"
"10","Westmeath","2011","2011","ROA20C2","Injury Collisions","Number","99"
"10","Westmeath","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","104"
"10","Westmeath","2011","2011","ROA20C4","Killed Casualties","Number","6"
"10","Westmeath","2011","2011","ROA20C5","Injured Casualties","Number","127"
"10","Westmeath","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","133"
"10","Westmeath","2012","2012","ROA20C1","Fatal Collisions","Number","4"
"10","Westmeath","2012","2012","ROA20C2","Injury Collisions","Number","100"
"10","Westmeath","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","104"
"10","Westmeath","2012","2012","ROA20C4","Killed Casualties","Number","5"
"10","Westmeath","2012","2012","ROA20C5","Injured Casualties","Number","138"
"10","Westmeath","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","143"
"11","Wexford","2005","2005","ROA20C1","Fatal Collisions","Number","21"
"11","Wexford","2005","2005","ROA20C2","Injury Collisions","Number","222"
"11","Wexford","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","243"
"11","Wexford","2005","2005","ROA20C4","Killed Casualties","Number","21"
"11","Wexford","2005","2005","ROA20C5","Injured Casualties","Number","377"
"11","Wexford","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","398"
"11","Wexford","2006","2006","ROA20C1","Fatal Collisions","Number","18"
"11","Wexford","2006","2006","ROA20C2","Injury Collisions","Number","238"
"11","Wexford","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","256"
"11","Wexford","2006","2006","ROA20C4","Killed Casualties","Number","20"
"11","Wexford","2006","2006","ROA20C5","Injured Casualties","Number","395"
"11","Wexford","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","415"
"11","Wexford","2007","2007","ROA20C1","Fatal Collisions","Number","16"
"11","Wexford","2007","2007","ROA20C2","Injury Collisions","Number","208"
"11","Wexford","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","224"
"11","Wexford","2007","2007","ROA20C4","Killed Casualties","Number","17"
"11","Wexford","2007","2007","ROA20C5","Injured Casualties","Number","311"
"11","Wexford","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","328"
"11","Wexford","2008","2008","ROA20C1","Fatal Collisions","Number","16"
"11","Wexford","2008","2008","ROA20C2","Injury Collisions","Number","214"
"11","Wexford","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","230"
"11","Wexford","2008","2008","ROA20C4","Killed Casualties","Number","16"
"11","Wexford","2008","2008","ROA20C5","Injured Casualties","Number","329"
"11","Wexford","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","345"
"11","Wexford","2009","2009","ROA20C1","Fatal Collisions","Number","4"
"11","Wexford","2009","2009","ROA20C2","Injury Collisions","Number","197"
"11","Wexford","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","201"
"11","Wexford","2009","2009","ROA20C4","Killed Casualties","Number","4"
"11","Wexford","2009","2009","ROA20C5","Injured Casualties","Number","294"
"11","Wexford","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","298"
"11","Wexford","2010","2010","ROA20C1","Fatal Collisions","Number","9"
"11","Wexford","2010","2010","ROA20C2","Injury Collisions","Number","174"
"11","Wexford","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","183"
"11","Wexford","2010","2010","ROA20C4","Killed Casualties","Number","9"
"11","Wexford","2010","2010","ROA20C5","Injured Casualties","Number","257"
"11","Wexford","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","266"
"11","Wexford","2011","2011","ROA20C1","Fatal Collisions","Number","4"
"11","Wexford","2011","2011","ROA20C2","Injury Collisions","Number","168"
"11","Wexford","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","172"
"11","Wexford","2011","2011","ROA20C4","Killed Casualties","Number","5"
"11","Wexford","2011","2011","ROA20C5","Injured Casualties","Number","232"
"11","Wexford","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","237"
"11","Wexford","2012","2012","ROA20C1","Fatal Collisions","Number","9"
"11","Wexford","2012","2012","ROA20C2","Injury Collisions","Number","175"
"11","Wexford","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","184"
"11","Wexford","2012","2012","ROA20C4","Killed Casualties","Number","9"
"11","Wexford","2012","2012","ROA20C5","Injured Casualties","Number","283"
"11","Wexford","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","292"
"12","Wicklow","2005","2005","ROA20C1","Fatal Collisions","Number","8"
"12","Wicklow","2005","2005","ROA20C2","Injury Collisions","Number","186"
"12","Wicklow","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","194"
"12","Wicklow","2005","2005","ROA20C4","Killed Casualties","Number","8"
"12","Wicklow","2005","2005","ROA20C5","Injured Casualties","Number","318"
"12","Wicklow","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","326"
"12","Wicklow","2006","2006","ROA20C1","Fatal Collisions","Number","11"
"12","Wicklow","2006","2006","ROA20C2","Injury Collisions","Number","143"
"12","Wicklow","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","154"
"12","Wicklow","2006","2006","ROA20C4","Killed Casualties","Number","11"
"12","Wicklow","2006","2006","ROA20C5","Injured Casualties","Number","234"
"12","Wicklow","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","245"
"12","Wicklow","2007","2007","ROA20C1","Fatal Collisions","Number","8"
"12","Wicklow","2007","2007","ROA20C2","Injury Collisions","Number","123"
"12","Wicklow","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","131"
"12","Wicklow","2007","2007","ROA20C4","Killed Casualties","Number","9"
"12","Wicklow","2007","2007","ROA20C5","Injured Casualties","Number","188"
"12","Wicklow","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","197"
"12","Wicklow","2008","2008","ROA20C1","Fatal Collisions","Number","4"
"12","Wicklow","2008","2008","ROA20C2","Injury Collisions","Number","189"
"12","Wicklow","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","193"
"12","Wicklow","2008","2008","ROA20C4","Killed Casualties","Number","4"
"12","Wicklow","2008","2008","ROA20C5","Injured Casualties","Number","291"
"12","Wicklow","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","295"
"12","Wicklow","2009","2009","ROA20C1","Fatal Collisions","Number","4"
"12","Wicklow","2009","2009","ROA20C2","Injury Collisions","Number","208"
"12","Wicklow","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","212"
"12","Wicklow","2009","2009","ROA20C4","Killed Casualties","Number","4"
"12","Wicklow","2009","2009","ROA20C5","Injured Casualties","Number","343"
"12","Wicklow","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","347"
"12","Wicklow","2010","2010","ROA20C1","Fatal Collisions","Number","5"
"12","Wicklow","2010","2010","ROA20C2","Injury Collisions","Number","178"
"12","Wicklow","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","183"
"12","Wicklow","2010","2010","ROA20C4","Killed Casualties","Number","5"
"12","Wicklow","2010","2010","ROA20C5","Injured Casualties","Number","263"
"12","Wicklow","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","268"
"12","Wicklow","2011","2011","ROA20C1","Fatal Collisions","Number","3"
"12","Wicklow","2011","2011","ROA20C2","Injury Collisions","Number","174"
"12","Wicklow","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","177"
"12","Wicklow","2011","2011","ROA20C4","Killed Casualties","Number","3"
"12","Wicklow","2011","2011","ROA20C5","Injured Casualties","Number","255"
"12","Wicklow","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","258"
"12","Wicklow","2012","2012","ROA20C1","Fatal Collisions","Number","3"
"12","Wicklow","2012","2012","ROA20C2","Injury Collisions","Number","175"
"12","Wicklow","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","178"
"12","Wicklow","2012","2012","ROA20C4","Killed Casualties","Number","3"
"12","Wicklow","2012","2012","ROA20C5","Injured Casualties","Number","264"
"12","Wicklow","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","267"
"13","Clare","2005","2005","ROA20C1","Fatal Collisions","Number","11"
"13","Clare","2005","2005","ROA20C2","Injury Collisions","Number","137"
"13","Clare","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","148"
"13","Clare","2005","2005","ROA20C4","Killed Casualties","Number","12"
"13","Clare","2005","2005","ROA20C5","Injured Casualties","Number","237"
"13","Clare","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","249"
"13","Clare","2006","2006","ROA20C1","Fatal Collisions","Number","9"
"13","Clare","2006","2006","ROA20C2","Injury Collisions","Number","143"
"13","Clare","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","152"
"13","Clare","2006","2006","ROA20C4","Killed Casualties","Number","9"
"13","Clare","2006","2006","ROA20C5","Injured Casualties","Number","236"
"13","Clare","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","245"
"13","Clare","2007","2007","ROA20C1","Fatal Collisions","Number","11"
"13","Clare","2007","2007","ROA20C2","Injury Collisions","Number","128"
"13","Clare","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","139"
"13","Clare","2007","2007","ROA20C4","Killed Casualties","Number","12"
"13","Clare","2007","2007","ROA20C5","Injured Casualties","Number","209"
"13","Clare","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","221"
"13","Clare","2008","2008","ROA20C1","Fatal Collisions","Number","7"
"13","Clare","2008","2008","ROA20C2","Injury Collisions","Number","177"
"13","Clare","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","184"
"13","Clare","2008","2008","ROA20C4","Killed Casualties","Number","7"
"13","Clare","2008","2008","ROA20C5","Injured Casualties","Number","288"
"13","Clare","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","295"
"13","Clare","2009","2009","ROA20C1","Fatal Collisions","Number","6"
"13","Clare","2009","2009","ROA20C2","Injury Collisions","Number","184"
"13","Clare","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","190"
"13","Clare","2009","2009","ROA20C4","Killed Casualties","Number","7"
"13","Clare","2009","2009","ROA20C5","Injured Casualties","Number","267"
"13","Clare","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","274"
"13","Clare","2010","2010","ROA20C1","Fatal Collisions","Number","4"
"13","Clare","2010","2010","ROA20C2","Injury Collisions","Number","149"
"13","Clare","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","153"
"13","Clare","2010","2010","ROA20C4","Killed Casualties","Number","4"
"13","Clare","2010","2010","ROA20C5","Injured Casualties","Number","225"
"13","Clare","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","229"
"13","Clare","2011","2011","ROA20C1","Fatal Collisions","Number","2"
"13","Clare","2011","2011","ROA20C2","Injury Collisions","Number","118"
"13","Clare","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","120"
"13","Clare","2011","2011","ROA20C4","Killed Casualties","Number","2"
"13","Clare","2011","2011","ROA20C5","Injured Casualties","Number","172"
"13","Clare","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","174"
"13","Clare","2012","2012","ROA20C1","Fatal Collisions","Number","2"
"13","Clare","2012","2012","ROA20C2","Injury Collisions","Number","136"
"13","Clare","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","138"
"13","Clare","2012","2012","ROA20C4","Killed Casualties","Number","2"
"13","Clare","2012","2012","ROA20C5","Injured Casualties","Number","194"
"13","Clare","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","196"
"14","Cork","2005","2005","ROA20C1","Fatal Collisions","Number","37"
"14","Cork","2005","2005","ROA20C2","Injury Collisions","Number","697"
"14","Cork","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","734"
"14","Cork","2005","2005","ROA20C4","Killed Casualties","Number","39"
"14","Cork","2005","2005","ROA20C5","Injured Casualties","Number","1025"
"14","Cork","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","1064"
"14","Cork","2006","2006","ROA20C1","Fatal Collisions","Number","29"
"14","Cork","2006","2006","ROA20C2","Injury Collisions","Number","615"
"14","Cork","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","644"
"14","Cork","2006","2006","ROA20C4","Killed Casualties","Number","33"
"14","Cork","2006","2006","ROA20C5","Injured Casualties","Number","898"
"14","Cork","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","931"
"14","Cork","2007","2007","ROA20C1","Fatal Collisions","Number","28"
"14","Cork","2007","2007","ROA20C2","Injury Collisions","Number","564"
"14","Cork","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","592"
"14","Cork","2007","2007","ROA20C4","Killed Casualties","Number","31"
"14","Cork","2007","2007","ROA20C5","Injured Casualties","Number","840"
"14","Cork","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","871"
"14","Cork","2008","2008","ROA20C1","Fatal Collisions","Number","24"
"14","Cork","2008","2008","ROA20C2","Injury Collisions","Number","687"
"14","Cork","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","711"
"14","Cork","2008","2008","ROA20C4","Killed Casualties","Number","24"
"14","Cork","2008","2008","ROA20C5","Injured Casualties","Number","976"
"14","Cork","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","1000"
"14","Cork","2009","2009","ROA20C1","Fatal Collisions","Number","19"
"14","Cork","2009","2009","ROA20C2","Injury Collisions","Number","622"
"14","Cork","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","641"
"14","Cork","2009","2009","ROA20C4","Killed Casualties","Number","21"
"14","Cork","2009","2009","ROA20C5","Injured Casualties","Number","933"
"14","Cork","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","954"
"14","Cork","2010","2010","ROA20C1","Fatal Collisions","Number","16"
"14","Cork","2010","2010","ROA20C2","Injury Collisions","Number","581"
"14","Cork","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","597"
"14","Cork","2010","2010","ROA20C4","Killed Casualties","Number","18"
"14","Cork","2010","2010","ROA20C5","Injured Casualties","Number","867"
"14","Cork","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","885"
"14","Cork","2011","2011","ROA20C1","Fatal Collisions","Number","26"
"14","Cork","2011","2011","ROA20C2","Injury Collisions","Number","533"
"14","Cork","2011","2011","ROA20C3","All Fatal and Injury Collisions","Number","559"
"14","Cork","2011","2011","ROA20C4","Killed Casualties","Number","27"
"14","Cork","2011","2011","ROA20C5","Injured Casualties","Number","773"
"14","Cork","2011","2011","ROA20C6","All Killed and Injured Casualties","Number","800"
"14","Cork","2012","2012","ROA20C1","Fatal Collisions","Number","20"
"14","Cork","2012","2012","ROA20C2","Injury Collisions","Number","531"
"14","Cork","2012","2012","ROA20C3","All Fatal and Injury Collisions","Number","551"
"14","Cork","2012","2012","ROA20C4","Killed Casualties","Number","21"
"14","Cork","2012","2012","ROA20C5","Injured Casualties","Number","742"
"14","Cork","2012","2012","ROA20C6","All Killed and Injured Casualties","Number","763"
"15","Kerry","2005","2005","ROA20C1","Fatal Collisions","Number","11"
"15","Kerry","2005","2005","ROA20C2","Injury Collisions","Number","208"
"15","Kerry","2005","2005","ROA20C3","All Fatal and Injury Collisions","Number","219"
"15","Kerry","2005","2005","ROA20C4","Killed Casualties","Number","11"
"15","Kerry","2005","2005","ROA20C5","Injured Casualties","Number","344"
"15","Kerry","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","355"
"15","Kerry","2006","2006","ROA20C1","Fatal Collisions","Number","19"
"15","Kerry","2006","2006","ROA20C2","Injury Collisions","Number","224"
"15","Kerry","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","243"
"15","Kerry","2006","2006","ROA20C4","Killed Casualties","Number","21"
"15","Kerry","2006","2006","ROA20C5","Injured Casualties","Number","348"
"15","Kerry","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","369"
"15","Kerry","2007","2007","ROA20C1","Fatal Collisions","Number","12"
"15","Kerry","2007","2007","ROA20C2","Injury Collisions","Number","229"
"15","Kerry","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","241"
"15","Kerry","2007","2007","ROA20C4","Killed Casualties","Number","14"
"15","Kerry","2007","2007","ROA20C5","Injured Casualties","Number","394"
"15","Kerry","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","408"
"15","Kerry","2008","2008","ROA20C1","Fatal Collisions","Number","17"
"15","Kerry","2008","2008","ROA20C2","Injury Collisions","Number","231"
"15","Kerry","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","248"
"15","Kerry","2008","2008","ROA20C4","Killed Casualties","Number","19"
"15","Kerry","2008","2008","ROA20C5","Injured Casualties","Number","387"
"15","Kerry","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","406"
"15","Kerry","2009","2009","ROA20C1","Fatal Collisions","Number","11"
"15","Kerry","2009","2009","ROA20C2","Injury Collisions","Number","217"
"15","Kerry","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","228"
"15","Kerry","2009","2009","ROA20C4","Killed Casualties","Number","12"
