"STATISTIC","Statistic Label","TLIST(A1)","Year","C03119V03771","Hour of Day","UNIT","VALUE"
"ROA19C1","Fatal Collisions","2007","2007","18","17","Number","20"
"ROA19C1","Fatal Collisions","2007","2007","19","18","Number","21"
"ROA19C1","Fatal Collisions","2007","2007","20","19","Number","14"
"ROA19C1","Fatal Collisions","2007","2007","21","20","Number","20"
"ROA19C1","Fatal Collisions","2007","2007","22","21","Number","7"
"ROA19C1","Fatal Collisions","2007","2007","23","22","Number","11"
"ROA19C1","Fatal Collisions","2007","2007","24","23","Number","13"
"ROA19C1","Fatal Collisions","2008","2008","-","All hours","Number","254"
"ROA19C1","Fatal Collisions","2008","2008","01","12 midnight","Number","15"
"ROA19C1","Fatal Collisions","2008","2008","02","1","Number","9"
"ROA19C1","Fatal Collisions","2008","2008","03","2","Number","11"
"ROA19C1","Fatal Collisions","2008","2008","04","3","Number","11"
"ROA19C1","Fatal Collisions","2008","2008","05","4","Number","4"
"ROA19C1","Fatal Collisions","2008","2008","06","5","Number","2"
"ROA19C1","Fatal Collisions","2008","2008","07","6","Number","2"
"ROA19C1","Fatal Collisions","2008","2008","08","7","Number","10"
"ROA19C1","Fatal Collisions","2008","2008","09","8","Number","18"
"ROA19C1","Fatal Collisions","2008","2008","10","9","Number","6"
"ROA19C1","Fatal Collisions","2008","2008","11","10","Number","8"
"ROA19C1","Fatal Collisions","2008","2008","12","11","Number","11"
"ROA19C1","Fatal Collisions","2008","2008","13","12","Number","14"
"ROA19C1","Fatal Collisions","2008","2008","14","13","Number","15"
"ROA19C1","Fatal Collisions","2008","2008","15","14","Number","10"
"ROA19C1","Fatal Collisions","2008","2008","16","15","Number","9"
"ROA19C1","Fatal Collisions","2008","2008","17","16","Number","14"
"ROA19C1","Fatal Collisions","2008","2008","18","17","Number","10"
"ROA19C1","Fatal Collisions","2008","2008","19","18","Number","15"
"ROA19C1","Fatal Collisions","2008","2008","20","19","Number","9"
"ROA19C1","Fatal Collisions","2008","2008","21","20","Number","18"
"ROA19C1","Fatal Collisions","2008","2008","22","21","Number","16"
"ROA19C1","Fatal Collisions","2008","2008","23","22","Number","8"
"ROA19C1","Fatal Collisions","2008","2008","24","23","Number","9"
"ROA19C1","Fatal Collisions","2009","2009","-","All hours","Number","220"
"ROA19C1","Fatal Collisions","2009","2009","01","12 midnight","Number","8"
"ROA19C1","Fatal Collisions","2009","2009","02","1","Number","10"
"ROA19C1","Fatal Collisions","2009","2009","03","2","Number","14"
"ROA19C1","Fatal Collisions","2009","2009","04","3","Number","5"
"ROA19C1","Fatal Collisions","2009","2009","05","4","Number","5"
"ROA19C1","Fatal Collisions","2009","2009","06","5","Number","6"
"ROA19C1","Fatal Collisions","2009","2009","07","6","Number","11"
"ROA19C1","Fatal Collisions","2009","2009","08","7","Number","9"
"ROA19C1","Fatal Collisions","2009","2009","09","8","Number","7"
"ROA19C1","Fatal Collisions","2009","2009","10","9","Number","8"
"ROA19C1","Fatal Collisions","2009","2009","11","10","Number","7"
"ROA19C1","Fatal Collisions","2009","2009","12","11","Number","11"
"ROA19C1","Fatal Collisions","2009","2009","13","12","Number","6"
"ROA19C1","Fatal Collisions","2009","2009","14","13","Number","7"
"ROA19C1","Fatal Collisions","2009","2009","15","14","Number","11"
"ROA19C1","Fatal Collisions","2009","2009","16","15","Number","12"
"ROA19C1","Fatal Collisions","2009","2009","17","16","Number","12"
"ROA19C1","Fatal Collisions","2009","2009","18","17","Number","15"
"ROA19C1","Fatal Collisions","2009","2009","19","18","Number","14"
"ROA19C1","Fatal Collisions","2009","2009","20","19","Number","10"
"ROA19C1","Fatal Collisions","2009","2009","21","20","Number","6"
"ROA19C1","Fatal Collisions","2009","2009","22","21","Number","9"
"ROA19C1","Fatal Collisions","2009","2009","23","22","Number","8"
"ROA19C1","Fatal Collisions","2009","2009","24","23","Number","9"
"ROA19C1","Fatal Collisions","2010","2010","-","All hours","Number","185"
"ROA19C1","Fatal Collisions","2010","2010","01","12 midnight","Number","14"
"ROA19C1","Fatal Collisions","2010","2010","02","1","Number","10"
"ROA19C1","Fatal Collisions","2010","2010","03","2","Number","11"
"ROA19C1","Fatal Collisions","2010","2010","04","3","Number","8"
"ROA19C1","Fatal Collisions","2010","2010","05","4","Number","5"
"ROA19C1","Fatal Collisions","2010","2010","06","5","Number","7"
"ROA19C1","Fatal Collisions","2010","2010","07","6","Number","9"
"ROA19C1","Fatal Collisions","2010","2010","08","7","Number","8"
"ROA19C1","Fatal Collisions","2010","2010","09","8","Number","5"
"ROA19C1","Fatal Collisions","2010","2010","10","9","Number","6"
"ROA19C1","Fatal Collisions","2010","2010","11","10","Number","6"
"ROA19C1","Fatal Collisions","2010","2010","12","11","Number","7"
"ROA19C1","Fatal Collisions","2010","2010","13","12","Number","5"
"ROA19C1","Fatal Collisions","2010","2010","14","13","Number","7"
"ROA19C1","Fatal Collisions","2010","2010","15","14","Number","4"
"ROA19C1","Fatal Collisions","2010","2010","16","15","Number","9"
"ROA19C1","Fatal Collisions","2010","2010","17","16","Number","5"
"ROA19C1","Fatal Collisions","2010","2010","18","17","Number","5"
"ROA19C1","Fatal Collisions","2010","2010","19","18","Number","8"
"ROA19C1","Fatal Collisions","2010","2010","20","19","Number","14"
"ROA19C1","Fatal Collisions","2010","2010","21","20","Number","7"
"ROA19C1","Fatal Collisions","2010","2010","22","21","Number","7"
"ROA19C1","Fatal Collisions","2010","2010","23","22","Number","8"
"ROA19C1","Fatal Collisions","2010","2010","24","23","Number","10"
"ROA19C1","Fatal Collisions","2011","2011","-","All hours","Number","172"
"ROA19C1","Fatal Collisions","2011","2011","01","12 midnight","Number","9"
"ROA19C1","Fatal Collisions","2011","2011","02","1","Number","8"
"ROA19C1","Fatal Collisions","2011","2011","03","2","Number","7"
"ROA19C1","Fatal Collisions","2011","2011","04","3","Number","9"
"ROA19C1","Fatal Collisions","2011","2011","05","4","Number","5"
"ROA19C1","Fatal Collisions","2011","2011","06","5","Number","5"
"ROA19C1","Fatal Collisions","2011","2011","07","6","Number","4"
"ROA19C1","Fatal Collisions","2011","2011","08","7","Number","5"
"ROA19C1","Fatal Collisions","2011","2011","09","8","Number","4"
"ROA19C1","Fatal Collisions","2011","2011","10","9","Number","4"
"ROA19C1","Fatal Collisions","2011","2011","11","10","Number","10"
"ROA19C1","Fatal Collisions","2011","2011","12","11","Number","6"
"ROA19C1","Fatal Collisions","2011","2011","13","12","Number","3"
"ROA19C1","Fatal Collisions","2011","2011","14","13","Number","6"
