STATISTIC,Statistic Label,TLIST(A1),Year,C01885V02316,Month of Year,UNIT,VALUE
ROA17C5,Injured Casualties,2014,2014,-,All months,Number,8079.0
ROA17C5,Injured Casualties,2014,2014,01,January,Number,636.0
ROA17C5,Injured Casualties,2014,2014,02,February,Number,577.0
ROA17C5,Injured Casualties,2014,2014,03,March,Number,575.0
ROA17C5,Injured Casualties,2014,2014,04,April,Number,642.0
ROA17C5,Injured Casualties,2014,2014,05,May,Number,653.0
ROA17C5,Injured Casualties,2014,2014,06,June,Number,680.0
ROA17C5,Injured Casualties,2014,2014,07,July,Number,685.0
ROA17C5,Injured Casualties,2014,2014,08,August,Number,741.0
ROA17C5,Injured Casualties,2014,2014,09,September,Number,681.0
ROA17C5,Injured Casualties,2014,2014,10,October,Number,726.0
ROA17C5,Injured Casualties,2014,2014,11,November,Number,791.0
ROA17C5,Injured Casualties,2014,2014,12,December,Number,692.0
ROA17C5,Injured Casualties,2015,2015,-,All months,Number,7840.0
ROA17C5,Injured Casualties,2015,2015,01,January,Number,678.0
ROA17C5,Injured Casualties,2015,2015,02,February,Number,556.0
ROA17C5,Injured Casualties,2015,2015,03,March,Number,643.0
ROA17C5,Injured Casualties,2015,2015,04,April,Number,535.0
ROA17C5,Injured Casualties,2015,2015,05,May,Number,690.0
ROA17C5,Injured Casualties,2015,2015,06,June,Number,646.0
ROA17C5,Injured Casualties,2015,2015,07,July,Number,667.0
ROA17C5,Injured Casualties,2015,2015,08,August,Number,676.0
ROA17C5,Injured Casualties,2015,2015,09,September,Number,689.0
ROA17C5,Injured Casualties,2015,2015,10,October,Number,665.0
ROA17C5,Injured Casualties,2015,2015,11,November,Number,668.0
ROA17C5,Injured Casualties,2015,2015,12,December,Number,727.0
ROA17C5,Injured Casualties,2016,2016,-,All months,Number,7710.0
ROA17C5,Injured Casualties,2016,2016,01,January,Number,696.0
ROA17C5,Injured Casualties,2016,2016,02,February,Number,610.0
ROA17C5,Injured Casualties,2016,2016,03,March,Number,597.0
ROA17C5,Injured Casualties,2016,2016,04,April,Number,530.0
ROA17C5,Injured Casualties,2016,2016,05,May,Number,622.0
ROA17C5,Injured Casualties,2016,2016,06,June,Number,642.0
ROA17C5,Injured Casualties,2016,2016,07,July,Number,722.0
ROA17C5,Injured Casualties,2016,2016,08,August,Number,626.0
ROA17C5,Injured Casualties,2016,2016,09,September,Number,720.0
ROA17C5,Injured Casualties,2016,2016,10,October,Number,618.0
ROA17C5,Injured Casualties,2016,2016,11,November,Number,650.0
ROA17C5,Injured Casualties,2016,2016,12,December,Number,677.0
ROA17C5,Injured Casualties,2017,2017,-,All months,Number,7778.0
ROA17C5,Injured Casualties,2017,2017,01,January,Number,576.0
ROA17C5,Injured Casualties,2017,2017,02,February,Number,522.0
ROA17C5,Injured Casualties,2017,2017,03,March,Number,672.0
ROA17C5,Injured Casualties,2017,2017,04,April,Number,536.0
ROA17C5,Injured Casualties,2017,2017,05,May,Number,704.0
ROA17C5,Injured Casualties,2017,2017,06,June,Number,623.0
ROA17C5,Injured Casualties,2017,2017,07,July,Number,655.0
ROA17C5,Injured Casualties,2017,2017,08,August,Number,635.0
ROA17C5,Injured Casualties,2017,2017,09,September,Number,698.0
ROA17C5,Injured Casualties,2017,2017,10,October,Number,636.0
ROA17C5,Injured Casualties,2017,2017,11,November,Number,805.0
ROA17C5,Injured Casualties,2017,2017,12,December,Number,716.0
ROA17C5,Injured Casualties,2018,2018,-,All months,Number,8011.0
ROA17C5,Injured Casualties,2018,2018,01,January,Number,598.0
ROA17C5,Injured Casualties,2018,2018,02,February,Number,575.0
ROA17C5,Injured Casualties,2018,2018,03,March,Number,595.0
ROA17C5,Injured Casualties,2018,2018,04,April,Number,602.0
ROA17C5,Injured Casualties,2018,2018,05,May,Number,733.0
ROA17C5,Injured Casualties,2018,2018,06,June,Number,706.0
ROA17C5,Injured Casualties,2018,2018,07,July,Number,730.0
ROA17C5,Injured Casualties,2018,2018,08,August,Number,634.0
ROA17C5,Injured Casualties,2018,2018,09,September,Number,685.0
ROA17C5,Injured Casualties,2018,2018,10,October,Number,723.0
ROA17C5,Injured Casualties,2018,2018,11,November,Number,725.0
ROA17C5,Injured Casualties,2018,2018,12,December,Number,705.0
ROA17C5,Injured Casualties,2019,2019,-,All months,Number,7579.0
ROA17C5,Injured Casualties,2019,2019,01,January,Number,625.0
ROA17C5,Injured Casualties,2019,2019,02,February,Number,506.0
ROA17C5,Injured Casualties,2019,2019,03,March,Number,644.0
ROA17C5,Injured Casualties,2019,2019,04,April,Number,526.0
ROA17C5,Injured Casualties,2019,2019,05,May,Number,616.0
ROA17C5,Injured Casualties,2019,2019,06,June,Number,647.0
ROA17C5,Injured Casualties,2019,2019,07,July,Number,680.0
ROA17C5,Injured Casualties,2019,2019,08,August,Number,653.0
ROA17C5,Injured Casualties,2019,2019,09,September,Number,719.0
ROA17C5,Injured Casualties,2019,2019,10,October,Number,679.0
ROA17C5,Injured Casualties,2019,2019,11,November,Number,691.0
ROA17C5,Injured Casualties,2019,2019,12,December,Number,593.0
ROA17C5,Injured Casualties,2020,2020,-,All months,Number,5596.0
ROA17C5,Injured Casualties,2020,2020,01,January,Number,659.0
ROA17C5,Injured Casualties,2020,2020,02,February,Number,554.0
ROA17C5,Injured Casualties,2020,2020,03,March,Number,345.0
ROA17C5,Injured Casualties,2020,2020,04,April,Number,159.0
ROA17C5,Injured Casualties,2020,2020,05,May,Number,276.0
ROA17C5,Injured Casualties,2020,2020,06,June,Number,381.0
ROA17C5,Injured Casualties,2020,2020,07,July,Number,522.0
ROA17C5,Injured Casualties,2020,2020,08,August,Number,533.0
ROA17C5,Injured Casualties,2020,2020,09,September,Number,562.0
ROA17C5,Injured Casualties,2020,2020,10,October,Number,500.0
ROA17C5,Injured Casualties,2020,2020,11,November,Number,476.0
ROA17C5,Injured Casualties,2020,2020,12,December,Number,629.0
ROA17C5,Injured Casualties,2021,2021,-,All months,Number,6196.0
ROA17C5,Injured Casualties,2021,2021,01,January,Number,281.0
ROA17C5,Injured Casualties,2021,2021,02,February,Number,314.0
ROA17C5,Injured Casualties,2021,2021,03,March,Number,360.0
ROA17C5,Injured Casualties,2021,2021,04,April,Number,426.0
ROA17C5,Injured Casualties,2021,2021,05,May,Number,525.0
ROA17C5,Injured Casualties,2021,2021,06,June,Number,566.0
ROA17C5,Injured Casualties,2021,2021,07,July,Number,610.0
ROA17C5,Injured Casualties,2021,2021,08,August,Number,589.0
ROA17C5,Injured Casualties,2021,2021,09,September,Number,658.0
ROA17C5,Injured Casualties,2021,2021,10,October,Number,643.0
ROA17C5,Injured Casualties,2021,2021,11,November,Number,563.0
ROA17C5,Injured Casualties,2021,2021,12,December,Number,661.0
ROA17C5,Injured Casualties,2022,2022,-,All months,Number,7358.0
ROA17C5,Injured Casualties,2022,2022,01,January,Number,505.0
ROA17C5,Injured Casualties,2022,2022,02,February,Number,539.0
ROA17C5,Injured Casualties,2022,2022,03,March,Number,615.0
ROA17C5,Injured Casualties,2022,2022,04,April,Number,594.0
ROA17C5,Injured Casualties,2022,2022,05,May,Number,671.0
ROA17C5,Injured Casualties,2022,2022,06,June,Number,597.0
ROA17C5,Injured Casualties,2022,2022,07,July,Number,593.0
ROA17C5,Injured Casualties,2022,2022,08,August,Number,681.0
ROA17C5,Injured Casualties,2022,2022,09,September,Number,673.0
ROA17C5,Injured Casualties,2022,2022,10,October,Number,684.0
ROA17C5,Injured Casualties,2022,2022,11,November,Number,686.0
ROA17C5,Injured Casualties,2022,2022,12,December,Number,520.0
ROA17C5,Injured Casualties,2023,2023,-,All months,Number,6949.0
ROA17C5,Injured Casualties,2023,2023,01,January,Number,546.0
ROA17C5,Injured Casualties,2023,2023,02,February,Number,485.0
ROA17C5,Injured Casualties,2023,2023,03,March,Number,565.0
ROA17C5,Injured Casualties,2023,2023,04,April,Number,558.0
ROA17C5,Injured Casualties,2023,2023,05,May,Number,605.0
ROA17C5,Injured Casualties,2023,2023,06,June,Number,618.0
ROA17C5,Injured Casualties,2023,2023,07,July,Number,664.0
ROA17C5,Injured Casualties,2023,2023,08,August,Number,575.0
ROA17C5,Injured Casualties,2023,2023,09,September,Number,582.0
ROA17C5,Injured Casualties,2023,2023,10,October,Number,581.0
ROA17C5,Injured Casualties,2023,2023,11,November,Number,595.0
ROA17C5,Injured Casualties,2023,2023,12,December,Number,575.0
ROA17C6,All Killed and Injured Casualties,2005,2005,-,All months,Number,9714.0
ROA17C6,All Killed and Injured Casualties,2005,2005,01,January,Number,716.0
ROA17C6,All Killed and Injured Casualties,2005,2005,02,February,Number,628.0
ROA17C6,All Killed and Injured Casualties,2005,2005,03,March,Number,744.0
ROA17C6,All Killed and Injured Casualties,2005,2005,04,April,Number,749.0
ROA17C6,All Killed and Injured Casualties,2005,2005,05,May,Number,841.0
ROA17C6,All Killed and Injured Casualties,2005,2005,06,June,Number,774.0
ROA17C6,All Killed and Injured Casualties,2005,2005,07,July,Number,927.0
ROA17C6,All Killed and Injured Casualties,2005,2005,08,August,Number,900.0
ROA17C6,All Killed and Injured Casualties,2005,2005,09,September,Number,857.0
ROA17C6,All Killed and Injured Casualties,2005,2005,10,October,Number,936.0
ROA17C6,All Killed and Injured Casualties,2005,2005,11,November,Number,860.0
ROA17C6,All Killed and Injured Casualties,2005,2005,12,December,Number,782.0
ROA17C6,All Killed and Injured Casualties,2006,2006,-,All months,Number,8940.0
ROA17C6,All Killed and Injured Casualties,2006,2006,01,January,Number,763.0
ROA17C6,All Killed and Injured Casualties,2006,2006,02,February,Number,578.0
ROA17C6,All Killed and Injured Casualties,2006,2006,03,March,Number,660.0
ROA17C6,All Killed and Injured Casualties,2006,2006,04,April,Number,639.0
ROA17C6,All Killed and Injured Casualties,2006,2006,05,May,Number,739.0
ROA17C6,All Killed and Injured Casualties,2006,2006,06,June,Number,706.0
ROA17C6,All Killed and Injured Casualties,2006,2006,07,July,Number,800.0
ROA17C6,All Killed and Injured Casualties,2006,2006,08,August,Number,784.0
ROA17C6,All Killed and Injured Casualties,2006,2006,09,September,Number,769.0
ROA17C6,All Killed and Injured Casualties,2006,2006,10,October,Number,829.0
ROA17C6,All Killed and Injured Casualties,2006,2006,11,November,Number,777.0
ROA17C6,All Killed and Injured Casualties,2006,2006,12,December,Number,896.0
ROA17C6,All Killed and Injured Casualties,2007,2007,-,All months,Number,8144.0
ROA17C6,All Killed and Injured Casualties,2007,2007,01,January,Number,661.0
ROA17C6,All Killed and Injured Casualties,2007,2007,02,February,Number,589.0
ROA17C6,All Killed and Injured Casualties,2007,2007,03,March,Number,700.0
ROA17C6,All Killed and Injured Casualties,2007,2007,04,April,Number,595.0
ROA17C6,All Killed and Injured Casualties,2007,2007,05,May,Number,649.0
ROA17C6,All Killed and Injured Casualties,2007,2007,06,June,Number,722.0
ROA17C6,All Killed and Injured Casualties,2007,2007,07,July,Number,752.0
ROA17C6,All Killed and Injured Casualties,2007,2007,08,August,Number,769.0
ROA17C6,All Killed and Injured Casualties,2007,2007,09,September,Number,685.0
ROA17C6,All Killed and Injured Casualties,2007,2007,10,October,Number,680.0
ROA17C6,All Killed and Injured Casualties,2007,2007,11,November,Number,684.0
ROA17C6,All Killed and Injured Casualties,2007,2007,12,December,Number,658.0
ROA17C6,All Killed and Injured Casualties,2008,2008,-,All months,Number,10037.0
ROA17C6,All Killed and Injured Casualties,2008,2008,01,January,Number,843.0
ROA17C6,All Killed and Injured Casualties,2008,2008,02,February,Number,877.0
ROA17C6,All Killed and Injured Casualties,2008,2008,03,March,Number,828.0
ROA17C6,All Killed and Injured Casualties,2008,2008,04,April,Number,802.0
ROA17C6,All Killed and Injured Casualties,2008,2008,05,May,Number,938.0
ROA17C6,All Killed and Injured Casualties,2008,2008,06,June,Number,822.0
ROA17C6,All Killed and Injured Casualties,2008,2008,07,July,Number,796.0
ROA17C6,All Killed and Injured Casualties,2008,2008,08,August,Number,785.0
ROA17C6,All Killed and Injured Casualties,2008,2008,09,September,Number,797.0
ROA17C6,All Killed and Injured Casualties,2008,2008,10,October,Number,837.0
ROA17C6,All Killed and Injured Casualties,2008,2008,11,November,Number,855.0
ROA17C6,All Killed and Injured Casualties,2008,2008,12,December,Number,857.0
ROA17C6,All Killed and Injured Casualties,2009,2009,-,All months,Number,9980.0
ROA17C6,All Killed and Injured Casualties,2009,2009,01,January,Number,830.0
ROA17C6,All Killed and Injured Casualties,2009,2009,02,February,Number,603.0
ROA17C6,All Killed and Injured Casualties,2009,2009,03,March,Number,779.0
ROA17C6,All Killed and Injured Casualties,2009,2009,04,April,Number,829.0
ROA17C6,All Killed and Injured Casualties,2009,2009,05,May,Number,855.0
ROA17C6,All Killed and Injured Casualties,2009,2009,06,June,Number,778.0
ROA17C6,All Killed and Injured Casualties,2009,2009,07,July,Number,995.0
ROA17C6,All Killed and Injured Casualties,2009,2009,08,August,Number,899.0
ROA17C6,All Killed and Injured Casualties,2009,2009,09,September,Number,826.0
ROA17C6,All Killed and Injured Casualties,2009,2009,10,October,Number,878.0
ROA17C6,All Killed and Injured Casualties,2009,2009,11,November,Number,903.0
ROA17C6,All Killed and Injured Casualties,2009,2009,12,December,Number,805.0
ROA17C6,All Killed and Injured Casualties,2010,2010,-,All months,Number,8482.0
ROA17C6,All Killed and Injured Casualties,2010,2010,01,January,Number,586.0
ROA17C6,All Killed and Injured Casualties,2010,2010,02,February,Number,636.0
ROA17C6,All Killed and Injured Casualties,2010,2010,03,March,Number,698.0
ROA17C6,All Killed and Injured Casualties,2010,2010,04,April,Number,706.0
ROA17C6,All Killed and Injured Casualties,2010,2010,05,May,Number,783.0
ROA17C6,All Killed and Injured Casualties,2010,2010,06,June,Number,680.0
ROA17C6,All Killed and Injured Casualties,2010,2010,07,July,Number,776.0
ROA17C6,All Killed and Injured Casualties,2010,2010,08,August,Number,766.0
ROA17C6,All Killed and Injured Casualties,2010,2010,09,September,Number,814.0
ROA17C6,All Killed and Injured Casualties,2010,2010,10,October,Number,889.0
ROA17C6,All Killed and Injured Casualties,2010,2010,11,November,Number,731.0
ROA17C6,All Killed and Injured Casualties,2010,2010,12,December,Number,417.0
ROA17C6,All Killed and Injured Casualties,2011,2011,-,All months,Number,7421.0
ROA17C6,All Killed and Injured Casualties,2011,2011,01,January,Number,569.0
ROA17C6,All Killed and Injured Casualties,2011,2011,02,February,Number,558.0
ROA17C6,All Killed and Injured Casualties,2011,2011,03,March,Number,578.0
ROA17C6,All Killed and Injured Casualties,2011,2011,04,April,Number,555.0
ROA17C6,All Killed and Injured Casualties,2011,2011,05,May,Number,538.0
ROA17C6,All Killed and Injured Casualties,2011,2011,06,June,Number,661.0
ROA17C6,All Killed and Injured Casualties,2011,2011,07,July,Number,704.0
ROA17C6,All Killed and Injured Casualties,2011,2011,08,August,Number,700.0
ROA17C6,All Killed and Injured Casualties,2011,2011,09,September,Number,652.0
ROA17C6,All Killed and Injured Casualties,2011,2011,10,October,Number,674.0
ROA17C6,All Killed and Injured Casualties,2011,2011,11,November,Number,673.0
ROA17C6,All Killed and Injured Casualties,2011,2011,12,December,Number,559.0
ROA17C6,All Killed and Injured Casualties,2012,2012,-,All months,Number,8104.0
ROA17C6,All Killed and Injured Casualties,2012,2012,01,January,Number,652.0
ROA17C6,All Killed and Injured Casualties,2012,2012,02,February,Number,609.0
ROA17C6,All Killed and Injured Casualties,2012,2012,03,March,Number,719.0
ROA17C6,All Killed and Injured Casualties,2012,2012,04,April,Number,710.0
ROA17C6,All Killed and Injured Casualties,2012,2012,05,May,Number,643.0
ROA17C6,All Killed and Injured Casualties,2012,2012,06,June,Number,708.0
ROA17C6,All Killed and Injured Casualties,2012,2012,07,July,Number,694.0
ROA17C6,All Killed and Injured Casualties,2012,2012,08,August,Number,682.0
ROA17C6,All Killed and Injured Casualties,2012,2012,09,September,Number,649.0
ROA17C6,All Killed and Injured Casualties,2012,2012,10,October,Number,733.0
ROA17C6,All Killed and Injured Casualties,2012,2012,11,November,Number,678.0
ROA17C6,All Killed and Injured Casualties,2012,2012,12,December,Number,627.0
ROA17C6,All Killed and Injured Casualties,2013,2013,-,All months,Number,7068.0
ROA17C6,All Killed and Injured Casualties,2013,2013,01,January,Number,642.0
ROA17C6,All Killed and Injured Casualties,2013,2013,02,February,Number,505.0
ROA17C6,All Killed and Injured Casualties,2013,2013,03,March,Number,538.0
ROA17C6,All Killed and Injured Casualties,2013,2013,04,April,Number,464.0
ROA17C6,All Killed and Injured Casualties,2013,2013,05,May,Number,550.0
ROA17C6,All Killed and Injured Casualties,2013,2013,06,June,Number,600.0
ROA17C6,All Killed and Injured Casualties,2013,2013,07,July,Number,695.0
ROA17C6,All Killed and Injured Casualties,2013,2013,08,August,Number,619.0
ROA17C6,All Killed and Injured Casualties,2013,2013,09,September,Number,618.0
ROA17C6,All Killed and Injured Casualties,2013,2013,10,October,Number,648.0
ROA17C6,All Killed and Injured Casualties,2013,2013,11,November,Number,575.0
ROA17C6,All Killed and Injured Casualties,2013,2013,12,December,Number,614.0
ROA17C6,All Killed and Injured Casualties,2014,2014,-,All months,Number,8271.0
ROA17C6,All Killed and Injured Casualties,2014,2014,01,January,Number,652.0
ROA17C6,All Killed and Injured Casualties,2014,2014,02,February,Number,590.0
ROA17C6,All Killed and Injured Casualties,2014,2014,03,March,Number,590.0
ROA17C6,All Killed and Injured Casualties,2014,2014,04,April,Number,656.0
ROA17C6,All Killed and Injured Casualties,2014,2014,05,May,Number,671.0
ROA17C6,All Killed and Injured Casualties,2014,2014,06,June,Number,698.0
ROA17C6,All Killed and Injured Casualties,2014,2014,07,July,Number,703.0
ROA17C6,All Killed and Injured Casualties,2014,2014,08,August,Number,756.0
ROA17C6,All Killed and Injured Casualties,2014,2014,09,September,Number,692.0
ROA17C6,All Killed and Injured Casualties,2014,2014,10,October,Number,743.0
ROA17C6,All Killed and Injured Casualties,2014,2014,11,November,Number,811.0
ROA17C6,All Killed and Injured Casualties,2014,2014,12,December,Number,709.0
ROA17C6,All Killed and Injured Casualties,2015,2015,-,All months,Number,8002.0
ROA17C6,All Killed and Injured Casualties,2015,2015,01,January,Number,690.0
ROA17C6,All Killed and Injured Casualties,2015,2015,02,February,Number,569.0
ROA17C6,All Killed and Injured Casualties,2015,2015,03,March,Number,654.0
ROA17C6,All Killed and Injured Casualties,2015,2015,04,April,Number,542.0
ROA17C6,All Killed and Injured Casualties,2015,2015,05,May,Number,702.0
ROA17C6,All Killed and Injured Casualties,2015,2015,06,June,Number,659.0
ROA17C6,All Killed and Injured Casualties,2015,2015,07,July,Number,686.0
ROA17C6,All Killed and Injured Casualties,2015,2015,08,August,Number,690.0
ROA17C6,All Killed and Injured Casualties,2015,2015,09,September,Number,705.0
ROA17C6,All Killed and Injured Casualties,2015,2015,10,October,Number,676.0
ROA17C6,All Killed and Injured Casualties,2015,2015,11,November,Number,682.0
ROA17C6,All Killed and Injured Casualties,2015,2015,12,December,Number,747.0
ROA17C6,All Killed and Injured Casualties,2016,2016,-,All months,Number,7896.0
ROA17C6,All Killed and Injured Casualties,2016,2016,01,January,Number,711.0
ROA17C6,All Killed and Injured Casualties,2016,2016,02,February,Number,620.0
ROA17C6,All Killed and Injured Casualties,2016,2016,03,March,Number,614.0
ROA17C6,All Killed and Injured Casualties,2016,2016,04,April,Number,544.0
ROA17C6,All Killed and Injured Casualties,2016,2016,05,May,Number,642.0
ROA17C6,All Killed and Injured Casualties,2016,2016,06,June,Number,654.0
ROA17C6,All Killed and Injured Casualties,2016,2016,07,July,Number,743.0
ROA17C6,All Killed and Injured Casualties,2016,2016,08,August,Number,639.0
ROA17C6,All Killed and Injured Casualties,2016,2016,09,September,Number,738.0
ROA17C6,All Killed and Injured Casualties,2016,2016,10,October,Number,638.0
ROA17C6,All Killed and Injured Casualties,2016,2016,11,November,Number,659.0
ROA17C6,All Killed and Injured Casualties,2016,2016,12,December,Number,694.0
ROA17C6,All Killed and Injured Casualties,2017,2017,-,All months,Number,7934.0
ROA17C6,All Killed and Injured Casualties,2017,2017,01,January,Number,592.0
ROA17C6,All Killed and Injured Casualties,2017,2017,02,February,Number,533.0
ROA17C6,All Killed and Injured Casualties,2017,2017,03,March,Number,692.0
ROA17C6,All Killed and Injured Casualties,2017,2017,04,April,Number,543.0
ROA17C6,All Killed and Injured Casualties,2017,2017,05,May,Number,712.0
ROA17C6,All Killed and Injured Casualties,2017,2017,06,June,Number,637.0
ROA17C6,All Killed and Injured Casualties,2017,2017,07,July,Number,671.0
ROA17C6,All Killed and Injured Casualties,2017,2017,08,August,Number,645.0
ROA17C6,All Killed and Injured Casualties,2017,2017,09,September,Number,711.0
ROA17C6,All Killed and Injured Casualties,2017,2017,10,October,Number,647.0
ROA17C6,All Killed and Injured Casualties,2017,2017,11,November,Number,819.0
ROA17C6,All Killed and Injured Casualties,2017,2017,12,December,Number,732.0
ROA17C6,All Killed and Injured Casualties,2018,2018,-,All months,Number,8150.0
ROA17C6,All Killed and Injured Casualties,2018,2018,01,January,Number,610.0
ROA17C6,All Killed and Injured Casualties,2018,2018,02,February,Number,585.0
ROA17C6,All Killed and Injured Casualties,2018,2018,03,March,Number,609.0
ROA17C6,All Killed and Injured Casualties,2018,2018,04,April,Number,619.0
ROA17C6,All Killed and Injured Casualties,2018,2018,05,May,Number,737.0
ROA17C6,All Killed and Injured Casualties,2018,2018,06,June,Number,722.0
ROA17C6,All Killed and Injured Casualties,2018,2018,07,July,Number,738.0
ROA17C6,All Killed and Injured Casualties,2018,2018,08,August,Number,646.0
ROA17C6,All Killed and Injured Casualties,2018,2018,09,September,Number,695.0
ROA17C6,All Killed and Injured Casualties,2018,2018,10,October,Number,732.0
ROA17C6,All Killed and Injured Casualties,2018,2018,11,November,Number,737.0
ROA17C6,All Killed and Injured Casualties,2018,2018,12,December,Number,720.0
ROA17C6,All Killed and Injured Casualties,2019,2019,-,All months,Number,7719.0
ROA17C6,All Killed and Injured Casualties,2019,2019,01,January,Number,639.0
ROA17C6,All Killed and Injured Casualties,2019,2019,02,February,Number,520.0
ROA17C6,All Killed and Injured Casualties,2019,2019,03,March,Number,655.0
ROA17C6,All Killed and Injured Casualties,2019,2019,04,April,Number,535.0
ROA17C6,All Killed and Injured Casualties,2019,2019,05,May,Number,627.0
ROA17C6,All Killed and Injured Casualties,2019,2019,06,June,Number,658.0
ROA17C6,All Killed and Injured Casualties,2019,2019,07,July,Number,688.0
ROA17C6,All Killed and Injured Casualties,2019,2019,08,August,Number,661.0
ROA17C6,All Killed and Injured Casualties,2019,2019,09,September,Number,737.0
ROA17C6,All Killed and Injured Casualties,2019,2019,10,October,Number,689.0
ROA17C6,All Killed and Injured Casualties,2019,2019,11,November,Number,702.0
ROA17C6,All Killed and Injured Casualties,2019,2019,12,December,Number,608.0
ROA17C6,All Killed and Injured Casualties,2020,2020,-,All months,Number,5743.0
ROA17C6,All Killed and Injured Casualties,2020,2020,01,January,Number,668.0
ROA17C6,All Killed and Injured Casualties,2020,2020,02,February,Number,573.0
ROA17C6,All Killed and Injured Casualties,2020,2020,03,March,Number,363.0
ROA17C6,All Killed and Injured Casualties,2020,2020,04,April,Number,166.0
ROA17C6,All Killed and Injured Casualties,2020,2020,05,May,Number,282.0
ROA17C6,All Killed and Injured Casualties,2020,2020,06,June,Number,393.0
ROA17C6,All Killed and Injured Casualties,2020,2020,07,July,Number,532.0
ROA17C6,All Killed and Injured Casualties,2020,2020,08,August,Number,549.0
ROA17C6,All Killed and Injured Casualties,2020,2020,09,September,Number,580.0
ROA17C6,All Killed and Injured Casualties,2020,2020,10,October,Number,513.0
ROA17C6,All Killed and Injured Casualties,2020,2020,11,November,Number,487.0
ROA17C6,All Killed and Injured Casualties,2020,2020,12,December,Number,
ROA17C6,All Killed and Injured Casualties,2021,2021,-,All months,Number,6332.0
ROA17C6,All Killed and Injured Casualties,2021,2021,01,January,Number,285.0
ROA17C6,All Killed and Injured Casualties,2021,2021,02,February,Number,319.0
ROA17C6,All Killed and Injured Casualties,2021,2021,03,March,Number,370.0
ROA17C6,All Killed and Injured Casualties,2021,2021,04,April,Number,444.0
ROA17C6,All Killed and Injured Casualties,2021,2021,05,May,Number,532.0
ROA17C6,All Killed and Injured Casualties,2021,2021,06,June,Number,575.0
ROA17C6,All Killed and Injured Casualties,2021,2021,07,July,Number,627.0
ROA17C6,All Killed and Injured Casualties,2021,2021,08,August,Number,610.0
ROA17C6,All Killed and Injured Casualties,2021,2021,09,September,Number,669.0
ROA17C6,All Killed and Injured Casualties,2021,2021,10,October,Number,655.0
ROA17C6,All Killed and Injured Casualties,2021,2021,11,November,Number,566.0
ROA17C6,All Killed and Injured Casualties,2021,2021,12,December,Number,680.0
ROA17C6,All Killed and Injured Casualties,2022,2022,-,All months,Number,7511.0
ROA17C6,All Killed and Injured Casualties,2022,2022,01,January,Number,518.0
ROA17C6,All Killed and Injured Casualties,2022,2022,02,February,Number,552.0
ROA17C6,All Killed and Injured Casualties,2022,2022,03,March,Number,631.0
ROA17C6,All Killed and Injured Casualties,2022,2022,04,April,Number,603.0
ROA17C6,All Killed and Injured Casualties,2022,2022,05,May,Number,683.0
ROA17C6,All Killed and Injured Casualties,2022,2022,06,June,Number,610.0
ROA17C6,All Killed and Injured Casualties,2022,2022,07,July,Number,605.0
ROA17C6,All Killed and Injured Casualties,2022,2022,08,August,Number,693.0
ROA17C6,All Killed and Injured Casualties,2022,2022,09,September,Number,682.0
ROA17C6,All Killed and Injured Casualties,2022,2022,10,October,Number,696.0
ROA17C6,All Killed and Injured Casualties,2022,2022,11,November,Number,703.0
ROA17C6,All Killed and Injured Casualties,2022,2022,12,December,Number,535.0
ROA17C6,All Killed and Injured Casualties,2023,2023,-,All months,Number,7128.0
ROA17C6,All Killed and Injured Casualties,2023,2023,01,January,Number,562.0
ROA17C6,All Killed and Injured Casualties,2023,2023,02,February,Number,498.0
ROA17C6,All Killed and Injured Casualties,2023,2023,03,March,Number,576.0
ROA17C6,All Killed and Injured Casualties,2023,2023,04,April,Number,568.0
ROA17C6,All Killed and Injured Casualties,2023,2023,05,May,Number,625.0
ROA17C6,All Killed and Injured Casualties,2023,2023,06,June,Number,628.0
ROA17C6,All Killed and Injured Casualties,2023,2023,07,July,Number,680.0
ROA17C6,All Killed and Injured Casualties,2023,2023,08,August,Number,601.0
ROA17C6,All Killed and Injured Casualties,2023,2023,09,September,Number,591.0
ROA17C6,All Killed and Injured Casualties,2023,2023,10,October,Number,603.0
ROA17C6,All Killed and Injured Casualties,2023,2023,11,November,Number,608.0
ROA17C6,All Killed and Injured Casualties,2023,2023,12,December,Number,588.0
